[Tue May 16 20:15:05.895002 2017] [:error] [pid 18920] [client 77.101.78.55:50790] script '/var/www/control.flareservers.co.uk/Testpanel/server_settings.php' not found or unable to stat
[Tue May 16 20:15:27.893553 2017] [:error] [pid 18920] [client 77.101.78.55:50795] PHP Parse error:  syntax error, unexpected '$row_srv' (T_VARIABLE) in /var/www/control.flareservers.co.uk/Testpanel/servers.php on line 49
[Tue May 16 22:16:17.502196 2017] [:error] [pid 23772] [client 90.192.94.144:61287] PHP Fatal error:  Uncaught Error: Call to a member function query() on null in /var/www/control.flareservers.co.uk/Testpanel/settings.php:7\nStack trace:\n#0 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/settings.php on line 7
[Tue May 16 22:16:21.669312 2017] [:error] [pid 24777] [client 90.192.94.144:61292] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:17:41.958056 2017] [:error] [pid 24924] [client 77.101.78.55:53745] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:152\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 152, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:17:42.977904 2017] [:error] [pid 24254] [client 77.101.78.55:53747] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:152\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 152, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:17:43.146840 2017] [:error] [pid 24829] [client 77.101.78.55:53746] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:152\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 152, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:18:08.015847 2017] [:error] [pid 24984] [client 77.101.78.55:53797] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:152\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 152, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:18:21.107374 2017] [:error] [pid 24829] [client 77.101.78.55:53814] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:152\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 152, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:18:27.982509 2017] [:error] [pid 24984] [client 77.101.78.55:53825] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:152\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 152, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:19:01.218091 2017] [:error] [pid 24254] [client 77.101.78.55:53876] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:126\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 126, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:19:08.358685 2017] [:error] [pid 24511] [client 77.101.78.55:53887] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:126\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 126, referer: https://control.flareservers.co.uk/Testpanel/index.php
